name;lat;lon;magnitude
name340;25.526315789473685;-24.0;0.0
name341;25.526315789473685;-19.707894736842107;0.0
name342;25.526315789473685;-15.41578947368421;0.0
name343;25.526315789473685;-11.123684210526315;0.0
name344;25.526315789473685;-6.8315789473684205;0.0
name345;25.526315789473685;-2.5394736842105274;0.0
name346;25.526315789473685;1.7526315789473692;0.0
name347;25.526315789473685;6.044736842105266;0.0
name348;25.526315789473685;10.336842105263159;0.0
name349;25.526315789473685;14.628947368421052;0.0
name350;25.526315789473685;18.921052631578945;0.0
name351;25.526315789473685;23.213157894736845;0.0
name352;25.526315789473685;27.50526315789474;0.0
name353;25.526315789473685;31.79736842105263;0.0
name354;25.526315789473685;36.08947368421053;0.0
name355;25.526315789473685;40.381578947368425;0.0
name356;25.526315789473685;44.67368421052632;0.0
name357;25.526315789473685;48.96578947368421;0.0
name358;25.526315789473685;53.257894736842104;0.0
name359;25.526315789473685;57.55;0.0
name360;28.763157894736842;-24.0;0.0
name361;28.763157894736842;-19.707894736842107;0.0
name362;28.763157894736842;-15.41578947368421;0.0
name363;28.763157894736842;-11.123684210526315;0.0
name364;28.763157894736842;-6.8315789473684205;0.0
name365;28.763157894736842;-2.5394736842105274;0.0
name366;28.763157894736842;1.7526315789473692;0.0
name367;28.763157894736842;6.044736842105266;0.0
name368;28.763157894736842;10.336842105263159;0.0
name369;28.763157894736842;14.628947368421052;0.0
name370;28.763157894736842;18.921052631578945;0.0
name371;28.763157894736842;23.213157894736845;0.0
name372;28.763157894736842;27.50526315789474;0.0
name373;28.763157894736842;31.79736842105263;0.0
name374;28.763157894736842;36.08947368421053;0.0
name375;28.763157894736842;40.381578947368425;0.0
name376;28.763157894736842;44.67368421052632;0.0
name377;28.763157894736842;48.96578947368421;0.0
name378;28.763157894736842;53.257894736842104;0.0
name379;28.763157894736842;57.55;0.0
name380;32.0;-24.0;0.0
name381;32.0;-19.707894736842107;0.0
name382;32.0;-15.41578947368421;0.0
name383;32.0;-11.123684210526315;0.0
name384;32.0;-6.8315789473684205;0.0
name385;32.0;-2.5394736842105274;0.0
name386;32.0;1.7526315789473692;0.0
name387;32.0;6.044736842105266;0.0
name388;32.0;10.336842105263159;0.0
name389;32.0;14.628947368421052;0.0
name390;32.0;18.921052631578945;0.0
name391;32.0;23.213157894736845;0.0
name392;32.0;27.50526315789474;0.0
name393;32.0;31.79736842105263;0.0
name394;32.0;36.08947368421053;0.0
name395;32.0;40.381578947368425;0.0
name396;32.0;44.67368421052632;0.0
name397;32.0;48.96578947368421;0.0
name398;32.0;53.257894736842104;0.0
name399;32.0;57.55;0.0
